,total_lines,extern_c,link_attrs,no_mangle,unsafe_count,unsafe_fn_count,ffi_file_count,syntax_tree_height,ffi_density_per_kloc,average_file_depth,kernel,driver,sandbox,library,other
device/google/cuttlefish,2906,0,0,1,11,2,6,6,4.817618719889883,3.7142857142857144,0,0,0,1,20
device/google/gs-common,109,0,0,0,0,0,0,3,0.0,2.0,0,0,0,0,1
kernel/common,24078,1,0,1,667,4,69,5,27.9508264806047,2.3714285714285714,73,7,0,3,22
platform/bionic,98,0,0,15,0,0,1,3,153.06122448979593,2.0,0,0,0,1,0
platform/bootable/libbootloader,39013,4,0,49,342,39,50,5,11.124496962550944,3.29126213592233,0,0,0,91,12
platform/build,16091,0,0,4,47,6,9,6,3.5423528680628924,4.0,0,0,0,8,52
platform/developers/build,117,0,0,0,0,0,0,8,0.0,7.0,0,0,0,0,2
platform/developers/samples/android,117,0,0,0,0,0,0,7,0.0,6.0,0,0,0,0,2
platform/development,11572,0,0,1,0,0,1,5,0.08641548565502938,3.823529411764706,0,0,0,12,39
platform/external/angle,1274,0,0,3,22,0,10,7,19.623233908948194,4.448979591836735,0,0,0,23,26
platform/external/clang,30,0,0,0,0,0,0,3,0.0,2.0,0,0,0,0,3
platform/external/flashrom,4080,1,0,1,45,0,2,5,11.519607843137255,3.235294117647059,0,0,0,7,10
platform/external/flatbuffers,40421,0,0,1,715,43,117,5,18.777368199698177,3.2883435582822087,0,0,0,4,159
platform/external/gsc-utils,2081,0,0,0,1,0,2,4,0.4805382027871216,2.6,0,0,0,4,1
platform/external/harfbuzz_ng,488,1,0,0,18,0,1,7,38.9344262295082,5.5,0,0,0,2,0
platform/external/kythe,21399,5,0,0,135,0,9,15,6.542361792607131,4.709677419354839,0,0,0,10,52
platform/external/libchromeos-rs,5586,0,0,0,65,1,10,3,11.815252416756177,1.3846153846153846,0,0,0,1,12
platform/external/mesa3d,56411,0,0,38,514,20,54,8,10.139866338125543,4.336363636363636,2,0,0,12,96
platform/external/minijail,2076,88,0,0,62,0,3,4,72.25433526011561,2.6,0,0,0,3,2
platform/external/n2,8778,1,0,0,52,0,13,4,6.037821827295511,1.3333333333333333,0,0,0,1,41
platform/external/opencv3,192,0,0,0,0,0,0,5,0.0,4.0,0,0,0,0,1
platform/external/open-dice,1804,0,0,0,0,0,1,3,0.0,2.0,0,0,0,1,7
platform/external/pigweed,11974,1,0,1,10,0,10,6,1.002171371304493,2.9,0,0,0,10,40
platform/external/python/bumble,8695,0,0,0,0,0,2,5,0.0,3.1555555555555554,0,5,0,1,39
platform/external/rust/beto-rust,56919,0,0,133,27,5,22,9,2.8988562694355138,4.6655629139072845,0,0,0,41,261
platform/external/rust/crabbyavif,20664,0,0,49,134,50,15,4,11.275648470770422,1.9107142857142858,0,0,0,10,46
platform/external/rust/crates/aarch64-paging,3067,0,0,0,26,2,4,2,9.129442451907401,1.0,0,0,0,1,3
platform/external/rust/crates/acpi,3023,0,0,0,42,1,10,3,14.224280516043665,1.1538461538461537,0,0,0,1,12
platform/external/rust/crates/ahash,4484,0,0,0,8,0,1,2,1.784121320249777,0.9285714285714286,0,0,0,1,13
platform/external/rust/crates/aho-corasick,11850,0,0,0,6,19,4,4,2.109704641350211,1.5714285714285714,0,0,0,1,20
platform/external/rust/crates/android_logger,815,0,0,0,15,0,1,2,18.404907975460123,1.0,0,0,0,1,3
platform/external/rust/crates/android_log-sys,93,1,0,0,0,0,1,2,10.752688172043012,1.0,0,0,0,1,0
platform/external/rust/crates/anes,3304,0,0,0,3,0,1,4,0.9079903147699758,1.6785714285714286,0,0,0,1,27
platform/external/rust/crates/annotate-snippets,3292,0,0,0,0,0,0,3,0.0,1.5,0,0,0,1,19
platform/external/rust/crates/anyhow,5858,0,0,3,74,15,10,3,15.705018777739843,1.2,0,0,0,1,34
platform/external/rust/crates/arbitrary,2887,0,0,0,3,0,1,2,1.0391409767925182,1.0,0,0,0,1,6
