,PC1,PC2,distance
device/google/cuttlefish,-0.263785375583707,-0.052749736712410795,0.26900791641709365
device/google/gs-common,-0.53521714834389,-0.33482863729217216,0.6313221144806338
kernel/common,2.0886864454980643,1.9789471365723446,2.87729783598348
platform/bionic,2.181430647540492,0.42934165128443386,2.223279992163959
platform/bootable/libbootloader,2.2578289288959863,3.649719824931735,4.2916484330219005
platform/build,0.13492980684624323,0.23635321211827554,0.27215600977048265
platform/developers/build,-0.535038879662344,-0.33480615942807573,0.6311590664335848
platform/developers/samples/android,-0.535038879662344,-0.33480615942807573,0.6311590664335848
platform/development,-0.25348734789183924,-0.23412912970504224,0.3450685220614579
platform/external/angle,0.024979440235538556,0.13366390478653048,0.13597798306072764
platform/external/clang,-0.5369775515741572,-0.33505060620012433,0.6329326975355654
platform/external/flashrom,-0.17985421964587864,-0.22304231304875197,0.2865229724377531
platform/external/flatbuffers,3.3857411674014575,4.25611064092624,5.438540340977765
platform/external/gsc-utils,-0.4496974910011097,-0.26026450512026056,0.5195819916415381
platform/external/harfbuzz_ng,0.15808832451560786,-0.2515985348979377,0.2971426275560963
platform/external/kythe,0.29570417460369786,-0.01441340627533558,0.29605524004569167
platform/external/libchromeos-rs,0.0003621012955648374,0.03147234706894971,0.03147443005642322
platform/external/mesa3d,2.5808452488630786,3.0991807808034038,4.033073729883985
platform/external/minijail,0.9507931303645474,-0.2406489435106863,0.9807749439913444
platform/external/n2,0.009452327427112914,0.12352988244956117,0.12389099382841252
platform/external/opencv3,-0.53336761077285,-0.3345954294521718,0.6296309312857984
platform/external/open-dice,-0.4810361340263332,-0.29570419067828596,0.5646562942389826
platform/external/pigweed,-0.07314517489186464,0.07260008735484415,0.10305818402190321
platform/external/python/bumble,-0.31106961104462644,-0.24198037133377354,0.39410506597389244
platform/external/rust/beto-rust,2.314260620901833,5.175661410773552,5.6695037931398735
platform/external/rust/crabbyavif,1.206410519225149,2.6540230221131287,2.915349814825589
platform/external/rust/crates/aarch64-paging,-0.21881798861850874,-0.15469344876069022,0.26797644529422004
platform/external/rust/crates/acpi,-0.03175168724790962,0.036710983750154275,0.048537263736155925
platform/external/rust/crates/ahash,-0.38591635825243203,-0.2887364770287782,0.48197529888346935
platform/external/rust/crates/aho-corasick,-0.037553072001720665,0.13479740683194394,0.13993060460593681
platform/external/rust/crates/android_logger,-0.18344041493931526,-0.2779156422128046,0.33299773275453964
platform/external/rust/crates/android_log-sys,-0.3367889916644855,-0.2861412960146379,0.4419317438149442
platform/external/rust/crates/anes,-0.43031749295563476,-0.2913574170434766,0.5196751766342791
platform/external/rust/crates/annotate-snippets,-0.46428849667376115,-0.32588525711480815,0.5672433419162941
platform/external/rust/crates/anyhow,0.19962357612944379,0.35627311564797415,0.40838719994659795
platform/external/rust/crates/arbitrary,-0.43740417881660365,-0.2923407771616865,0.526104120529127
