,PC1,PC2
device/google/cuttlefish,-0.1540307153362837,-0.0011130200932529433
device/google/gs-common,-0.7232172662225488,0.16257646787552593
kernel/common,2.306653555817944,-0.7884807338014798
platform/bionic,13.70635769131811,17.795930098962554
platform/bootable/libbootloader,0.5397613247500247,-0.10419677190561577
platform/build,-0.315064506002347,0.051675345323178856
platform/developers/build,-0.7232172662225488,0.16257646787552593
platform/developers/samples/android,-0.7232172662225488,0.16257646787552593
platform/development,-0.7150705998679054,0.17253192735154005
platform/external/angle,1.3627131089068762,-0.1491603907355618
platform/external/clang,-0.7232172662225488,0.16257646787552593
platform/external/flashrom,0.5195103161269021,-0.1953928852830605
platform/external/flatbuffers,1.3865367073413306,-0.5485395481823301
platform/external/gsc-utils,-0.6713485049463466,0.14635248270581228
platform/external/harfbuzz_ng,3.501588518826328,-1.1983712436260425
platform/external/kythe,-0.014503014844950863,-0.06360267634998293
platform/external/libchromeos-rs,0.5661231444019591,-0.24993496181803224
platform/external/mesa3d,0.38981962143224935,-0.10636012375757556
platform/external/minijail,7.536448283260396,-3.237520991865464
platform/external/n2,-0.0702635685191693,-0.04385487524485304
platform/external/opencv3,-0.7232172662225488,0.16257646787552593
platform/external/open-dice,-0.7232172662225488,0.16257646787552593
platform/external/pigweed,-0.6152777883176239,0.139289262175598
platform/external/python/bumble,-0.7232172662225488,0.16257646787552593
platform/external/rust/beto-rust,-0.43537267206453495,0.4061133225697529
platform/external/rust/crabbyavif,0.6508911577420756,-0.04874145213486832
platform/external/rust/crates/aarch64-paging,0.31325690301651443,-0.19520570563810927
platform/external/rust/crates/acpi,0.8380334823006509,-0.3428023756872297
platform/external/rust/crates/ahash,-0.5306411873362386,0.10234076200902437
platform/external/rust/crates/aho-corasick,-0.36997198284434263,-0.030491129785238522
platform/external/rust/crates/android_logger,1.2633881119819332,-0.4588121174896427
platform/external/rust/crates/android_log-sys,0.5542576071093707,-0.44413801304523365
platform/external/rust/crates/anes,-0.625209797503623,0.13192079613989566
platform/external/rust/crates/annotate-snippets,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/anyhow,1.1654325782602692,-0.4859477768084985
platform/external/rust/crates/arbitrary,-0.611053540331544,0.12749287265054413
platform/external/rust/crates/arc-swap,-0.2895763018622225,0.026938284088974737
platform/external/rust/crates/argh,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/argh_derive,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/argh_shared,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/arrayvec,0.7566887827996643,-0.3313938900059539
platform/external/rust/crates/ash,1.1597229533518811,-0.42747922768443636
platform/external/rust/crates/asn1-rs,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/asn1-rs-derive,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/asn1-rs-impl,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/async-stream,-0.38587044060468045,-0.0020033548596456703
platform/external/rust/crates/async-stream-impl,0.3419691701173544,-0.17060228019856122
platform/external/rust/crates/async-task,-0.1478642082249649,-0.026944509489031043
platform/external/rust/crates/async-trait,-0.656997086949066,0.14186351503002032
platform/external/rust/crates/atomic,4.764644982899962,-2.6200819310771744
platform/external/rust/crates/atty,2.948977474914967,-1.4563798660353762
platform/external/rust/crates/axum,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/axum-core,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/base64,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/bencher,-0.6596115548402407,0.1426812921900963
platform/external/rust/crates/bincode,-0.5845080451270976,0.11918973006677781
platform/external/rust/crates/bindgen,-0.27254789054530426,0.021611981978185382
platform/external/rust/crates/bindgen-cli,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/bit_field,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/bitflags,-0.46277489894587537,0.08111292411049449
platform/external/rust/crates/bitreader,-0.7232172662225488,0.16257646787552593
platform/external/rust/crates/bstr,-0.16201823836948007,-0.04579987911173088
platform/external/rust/crates/buddy_system_allocator,1.5904775343020252,-0.5611221362046287
platform/external/rust/crates/bytemuck,2.1155664757997505,-0.9187770913338764
